diplomata,tempo_servico,tempo_na_lotacao,tempo_fora,tempo_sede,lotacao_anterior,classificacao_anterior,lotacao_alocada,classificacao_alocada
D229,295,11,115,0,P96,C,P355,D
D40,294,24,143,0,P498,A,P167,D
D36,293,12,127,0,P343,B,P226,D
D206,291,24,144,0,P276,B,P0,*
D144,289,24,145,0,P210,A,P1,A
D239,288,16,117,0,P79,B,P277,A
D347,286,6,108,0,P129,D,P475,C
D293,286,0,118,0,P496,B,P491,D
D109,285,9,114,0,P157,B,P282,C
D219,285,18,120,0,P246,B,P32,D
D346,284,13,129,0,P124,C,P353,A
D339,284,20,134,0,P290,C,P48,C
D343,284,5,102,0,P410,C,P484,C
D108,283,13,122,0,P173,C,P30,C
D92,283,19,121,0,P383,B,P360,D
D300,282,12,112,0,P156,A,P379,C
D112,281,8,119,0,P337,B,P64,C
D332,279,5,123,0,P392,B,P148,C
D214,279,22,125,0,P359,D,P66,D
D275,277,5,104,0,P235,C,P248,A
D174,277,9,118,0,P72,A,P75,C
D291,277,8,129,0,P256,B,P412,D
D178,276,19,132,0,P282,C,P161,D
D90,276,16,118,0,P385,A,P126,C
D102,276,15,120,0,P305,A,P488,C
D74,275,17,129,0,P462,A,P462,A
D182,275,17,124,0,P16,D,P309,C
D216,275,2,99,0,P113,B,P270,C
D32,274,23,129,0,P413,D,P139,A
D345,273,19,117,0,P27,B,P53,C
D169,273,17,131,0,P206,D,P43,D
D223,272,19,140,0,P123,C,P185,D
D196,272,4,111,0,P55,D,P19,C
D15,270,21,121,0,P205,D,P95,A
D72,270,0,116,0,P110,B,P311,D
D256,266,1,121,0,P97,B,P267,D
D153,266,22,120,0,P252,A,P500,D
D44,266,10,107,0,P24,A,P24,A
D148,265,18,115,0,P326,D,P137,C
D252,263,16,134,0,P221,C,P165,A
D85,263,12,131,0,P375,A,P375,A
D197,262,21,131,0,P250,A,P250,A
D273,262,8,116,0,P18,D,P444,C
D87,261,18,139,0,P393,A,P290,C
D282,261,14,121,0,P169,D,P258,A
D176,259,10,109,0,P401,A,P344,D
D22,259,16,125,0,P416,D,P188,A
D54,259,7,113,0,P295,B,P203,C
D308,259,4,104,0,P240,A,P371,C
D225,257,16,121,0,P270,C,P286,C
D145,257,7,120,0,P493,D,P151,D
D86,257,0,109,0,P219,B,P187,D
D340,256,9,116,0,P274,B,P186,D
D334,254,20,120,0,P236,B,P319,D
D26,253,7,113,0,P307,C,P297,D
D53,253,24,139,0,P358,C,P237,C
D203,252,8,119,0,P464,A,P131,D
D280,252,15,124,0,P174,B,P23,C
D114,252,0,120,0,P395,D,P481,C
D166,250,2,108,0,P139,A,P77,D
D326,250,15,126,0,P215,C,P352,C
D98,248,9,126,0,P154,C,P175,A
D276,247,17,120,0,P71,C,P154,C
D163,245,19,120,0,P336,A,P460,C
D238,243,8,127,0,P153,B,P330,A
D202,243,8,123,0,P35,B,P7,D
D1,241,8,109,0,P258,A,P211,C
D88,241,2,114,0,P285,B,P296,C
D222,235,0,100,0,P471,A,P387,D
D183,233,22,137,0,P352,C,P288,D
D330,231,9,113,0,P266,C,P389,D
D84,230,15,115,0,P333,A,P255,D
D277,230,6,114,0,P238,B,P88,C
D264,229,17,136,0,P17,B,P142,D
D201,229,12,117,0,P261,B,P300,C
D279,228,19,120,0,P338,D,P98,A
D248,228,8,123,0,P403,C,P339,D
D318,227,22,140,0,P386,D,P83,A
D165,227,23,131,0,P468,B,P358,C
D80,224,12,128,0,P14,D,P459,D
D6,223,4,120,0,P133,C,P436,D
D281,223,18,122,0,P108,C,P200,A
D210,223,7,122,0,P341,B,P269,A
D209,222,7,124,0,P344,D,P20,C
D111,221,15,136,0,P376,B,P162,C
D30,221,6,115,0,P346,C,P62,A
D128,218,4,111,0,P15,B,P305,A
D195,218,0,113,0,P131,D,P222,D
D171,215,10,108,0,P404,C,P366,C
D162,215,12,120,0,P193,A,P205,D
D39,215,24,142,0,P80,D,P479,C
D101,214,1,122,0,P357,D,P230,A
D132,213,11,132,0,P195,B,P336,A
D253,213,16,114,0,P420,D,P317,D
D173,212,14,114,0,P296,C,P202,C
D193,212,7,105,0,P334,B,P304,A
D130,212,9,106,0,P351,D,P302,D
D150,209,15,125,0,P437,A,P257,C
D306,209,9,118,0,P224,C,P59,A
D35,209,13,133,0,P426,B,P396,D
D94,208,16,125,0,P49,B,P438,C
D24,208,5,113,0,P427,C,P404,C
D47,207,9,117,0,P321,B,P345,A
D298,207,15,117,0,P474,A,P493,D
D314,206,3,112,0,P176,D,P223,C
D56,206,9,120,0,P239,A,P122,D
D190,206,17,137,0,P181,D,P329,C
D322,205,20,128,0,P442,A,P103,D
D235,205,3,106,0,P423,A,P458,D
D93,204,19,134,0,P74,B,P209,C
D124,203,20,129,0,P53,C,P472,D
D243,202,24,125,0,P367,D,P242,A
D14,202,21,142,0,P94,B,P378,D
D159,201,14,127,0,P253,C,P91,D
D289,199,7,114,0,P191,B,P52,A
D103,199,24,132,0,P443,A,P299,C
D245,197,24,128,0,P28,C,P21,D
D122,197,15,112,0,P141,D,P25,C
D278,197,1,108,0,P495,D,P485,D
D294,195,21,126,0,P37,C,P384,D
D4,195,3,112,0,P308,C,P14,D
D129,195,9,129,0,P114,A,P133,C
D23,194,6,109,0,P134,B,P173,C
D181,193,8,116,0,P149,A,P149,A
D48,192,11,126,0,P273,D,P42,C
D175,191,19,129,0,P278,A,P278,A
D199,191,1,114,0,P143,B,P402,C
D7,189,22,141,0,P48,C,P106,A
D34,188,2,109,0,P9,C,P150,A
D311,185,0,105,0,P40,B,P201,A
D328,184,8,120,0,P477,C,P349,D
D287,184,10,126,0,P64,C,P176,D
D341,183,4,105,0,P43,D,P279,A
D168,183,5,122,0,P164,B,P3,C
D5,183,23,129,0,P241,C,P193,A
D257,183,20,133,0,P500,D,P121,D
D244,182,20,121,0,P184,B,P119,C
D297,181,4,105,0,P387,D,P340,D
D13,180,10,131,0,P202,C,P112,A
D134,180,19,116,0,P263,A,P263,A
D227,179,24,132,0,P299,C,P432,D
D167,177,6,118,0,P140,B,P72,A
D313,177,18,129,0,P88,C,P315,D
D17,174,6,121,0,P198,C,P416,D
D27,173,22,119,0,P98,A,P99,D
D258,169,12,123,0,P192,C,P96,C
D307,168,8,124,0,P214,C,P128,C
D299,167,0,115,0,P481,C,P323,A
D184,163,12,114,0,P345,A,P253,C
D205,162,4,117,0,P151,D,P361,C
D71,160,10,107,0,P492,B,P247,A
D140,160,3,106,0,P396,D,P130,A
D125,158,23,124,0,P324,A,P221,C
D147,157,21,135,0,P231,D,P156,A
D97,157,19,116,0,P147,D,P111,D
D215,157,20,141,0,P62,A,P351,D
D52,156,23,132,0,P145,C,P102,C
D120,156,11,120,0,P411,A,P465,D
D302,155,12,131,0,P430,B,P224,C
D191,154,0,120,0,P144,A,P28,C
D142,153,16,127,0,P102,C,P273,D
D75,152,4,114,0,P456,B,P116,A
D10,151,18,122,0,P13,B,P71,C
D119,149,5,119,0,P391,A,P275,C
D270,149,6,105,0,P171,C,P324,A
D46,149,7,127,0,P335,B,P338,D
D76,149,4,113,0,P355,D,P44,C
D110,148,0,102,0,P56,A,P60,C
D220,147,9,115,0,P84,C,P284,C
D116,147,19,140,0,P116,A,P301,C
D263,146,14,131,0,P32,D,P245,D
D82,145,24,141,0,P339,D,P374,A
D218,143,24,123,0,P398,C,P439,C
D319,142,3,107,0,P194,D,P292,D
D170,142,24,122,0,P453,B,P92,C
D155,140,4,101,0,P83,A,P320,D
D138,140,8,114,0,P91,D,P281,A
D131,138,1,108,0,P421,A,P181,D
D266,137,5,120,0,P105,B,P168,C
D271,137,6,117,0,P374,A,P178,D
D331,137,17,119,0,P465,D,P280,D
D336,136,22,138,0,P106,A,P36,D
D189,135,21,123,0,P175,A,P51,C
D295,135,22,137,0,P292,D,P231,D
D49,134,16,131,0,P408,B,P271,C
D180,134,15,118,0,P434,B,P16,D
D28,134,21,131,0,P488,C,P177,A
D121,133,16,123,0,P29,C,P490,D
D38,131,7,124,0,P362,B,P115,A
D73,131,12,121,0,P347,B,P478,C
D349,131,22,130,0,P317,D,P394,C
D81,130,21,130,0,P115,A,P410,C
D251,129,2,107,0,P268,B,P229,D
D96,129,9,130,0,P271,C,P63,A
D323,128,19,118,0,P92,C,P461,C
D344,128,18,116,0,P293,A,P293,A
D83,127,21,125,0,P377,B,P29,C
D161,126,10,119,0,P166,D,P163,C
D259,126,19,138,0,P107,B,P46,D
D63,125,23,142,0,P315,D,P18,D
D91,125,8,127,0,P6,D,P228,D
D254,122,16,117,0,P121,D,P124,C
D160,120,11,114,0,P322,A,P370,C
D342,120,17,128,0,P432,D,P467,D
D290,120,9,128,0,P255,D,P363,C
D135,119,12,113,0,P73,B,P12,D
D9,119,20,123,0,P190,B,P466,C
D21,117,9,108,0,P223,C,P262,C
D274,116,1,117,0,P109,D,P129,D
D151,116,9,126,0,P119,C,P118,D
D320,115,23,131,0,P429,B,P240,A
D50,114,23,136,0,P264,C,P264,C
D95,113,8,117,0,P93,B,P322,A
D79,113,0,101,0,P371,C,P208,A
D262,112,16,115,0,P201,A,P120,C
D8,111,19,132,0,P329,C,P155,D
D240,110,13,120,0,P301,C,P82,C
D211,110,5,106,0,P491,D,P433,D
D69,109,10,121,0,P342,D,P413,D
D18,109,6,105,0,P394,C,P198,C
D115,108,11,131,0,P361,C,P212,D
D265,108,6,124,0,P286,C,P367,D
D51,107,15,113,0,P127,D,P483,D
D185,107,4,113,0,P388,B,P109,D
D217,107,11,108,0,P414,A,P414,A
D99,107,10,128,0,P489,B,P158,C
D118,105,1,110,0,P475,C,P56,A
D154,104,11,109,0,P200,A,P217,D
D324,102,23,133,0,P461,C,P125,A
D157,102,15,114,0,P265,A,P419,C
D57,101,22,137,0,P390,B,P218,A
D337,99,0,113,0,P137,C,P403,C
D292,99,11,116,0,P26,B,P303,A
D117,99,1,100,0,P172,B,P308,C
D187,99,11,128,0,P419,C,P298,D
D179,98,2,111,0,P148,C,P5,D
D137,98,5,105,0,P275,C,P6,D
D310,97,23,144,0,P406,B,P2,B
D29,97,16,113,0,P212,D,P359,D
D284,96,5,122,0,P158,C,P65,D
D338,95,20,134,0,P470,B,P446,D
D77,95,14,122,0,P126,C,P80,D
D59,95,17,120,0,P155,D,P206,D
D43,94,18,136,0,P122,D,P171,C
D194,93,21,120,0,P281,A,P127,D
D89,92,24,124,0,P407,C,P239,A
D200,91,9,116,0,P162,C,P313,A
D315,91,2,109,0,P209,C,P252,A
D230,90,18,126,0,P247,A,P357,D
D296,89,0,99,0,P441,B,P294,A
D11,87,6,126,0,P67,A,P67,A
D106,86,21,124,0,P382,B,P350,A
D123,85,15,113,0,P78,B,P108,C
D316,81,11,122,0,P187,D,P180,D
D350,81,19,130,0,P220,C,P141,D
D321,81,4,108,0,P306,A,P306,A
D66,80,1,105,0,P38,D,P243,A
D20,78,5,119,0,P112,A,P86,D
D45,76,4,106,0,P95,A,P22,C
D113,74,4,108,0,P222,D,P220,C
D224,74,8,106,0,P466,C,P398,C
D329,72,18,134,0,P170,B,P76,D
D249,71,8,113,0,P469,B,P266,C
D172,69,17,135,0,P409,B,P33,A
D78,68,23,122,0,P233,C,P147,D
D136,68,6,120,0,P245,D,P61,D
D143,66,5,122,0,P436,D,P159,A
D107,66,6,118,0,P320,D,P287,D
D139,64,20,131,0,P294,A,P400,C
D198,63,17,117,0,P449,A,P449,A
D33,63,16,135,0,P52,A,P420,D
D42,62,15,130,0,P310,C,P84,C
D213,61,7,128,0,P380,A,P380,A
D303,60,18,124,0,P65,D,P38,D
D141,60,7,110,0,P300,C,P291,D
D31,58,19,137,0,P237,C,P10,A
D192,58,7,104,0,P120,C,P227,C
D208,57,21,128,0,P463,A,P117,D
D68,57,16,121,0,P161,D,P232,A
D12,55,22,133,0,P379,C,P289,C
D126,55,15,120,0,P454,C,P123,C
D65,52,24,132,0,P227,C,P235,C
D164,50,11,123,0,P234,B,P333,A
D221,50,15,136,0,P447,A,P194,D
D3,49,16,116,0,P249,B,P58,A
D333,49,24,130,0,P450,B,P34,D
D188,48,8,112,0,P260,C,P199,A
D247,47,0,110,0,P280,D,P241,C
D67,47,9,112,0,P163,C,P482,D
D325,47,11,129,0,P452,B,P356,D
D104,46,8,115,0,P66,D,P215,C
D186,46,6,107,0,P225,B,P160,C
D204,46,21,142,0,P229,D,P260,C
D260,44,24,124,0,P478,C,P104,A
D242,44,13,127,0,P349,D,P55,D
D55,44,19,120,0,P314,A,P314,A
D19,43,3,119,0,P459,D,P114,A
D305,42,19,118,0,P482,D,P144,A
D269,41,16,137,0,P365,A,P365,A
D25,40,14,127,0,P70,B,P145,C
D226,39,3,114,0,P196,B,P497,C
D348,39,7,125,0,P69,A,P69,A
D146,38,14,114,0,P323,A,P307,C
D158,37,13,116,0,P277,A,P386,D
D2,36,10,114,0,P486,B,P214,C
D37,36,12,120,0,P360,D,P216,D
D312,35,11,112,0,P424,B,P346,C
D241,35,9,111,0,P226,D,P265,A
D288,34,18,117,0,P458,D,P182,A
D236,33,3,108,0,P445,D,P183,A
D60,32,24,123,0,P199,A,P454,C
D156,32,7,126,0,P85,A,P85,A
D286,31,7,128,0,P254,D,P197,A
D335,31,1,98,0,P104,A,P326,D
D267,29,20,139,0,P179,B,P328,D
D70,29,17,130,0,P269,A,P495,D
D177,29,21,136,0,P165,A,P405,D
D301,27,14,131,0,P476,A,P254,D
D41,27,19,132,0,P86,D,P210,A
D327,24,19,135,0,P204,C,P4,D
D234,22,18,120,0,P217,D,P152,C
D133,21,1,115,0,P257,C,P445,D
D61,20,21,122,0,P135,B,P283,D
D64,20,16,129,0,P117,D,P87,C
D272,19,21,141,0,P167,D,P477,C
