diplomata,tempo_servico,tempo_na_lotacao,tempo_fora,tempo_sede,lotacao_anterior,classificacao_anterior,lotacao_alocada,classificacao_alocada
D121,297,15,122,0,P493,A,P493,A
D194,297,1,117,0,P75,B,P172,A
D19,296,19,126,0,P186,A,P186,A
D271,296,2,101,0,P332,D,P7,A
D75,296,3,114,0,P69,D,P11,A
D28,295,17,134,0,P422,B,P13,A
D233,295,22,140,0,P201,A,P201,A
D49,294,9,121,0,P293,B,P23,A
D305,294,2,108,0,P478,C,P34,A
D8,294,2,118,0,P193,A,P193,A
D116,293,6,119,0,P219,D,P428,A
D10,292,14,119,0,P330,A,P330,A
D270,292,3,118,0,P444,D,P215,A
D278,286,9,123,0,P322,B,P38,A
D242,283,5,111,0,P150,C,P41,A
D151,283,15,122,0,P136,D,P47,A
D27,282,14,134,0,P30,C,P48,A
D109,281,4,111,0,P409,B,P52,A
D259,281,4,107,0,P25,D,P54,A
D293,280,21,120,0,P156,A,P156,A
D273,279,3,108,0,P316,D,P57,A
D40,279,1,116,0,P211,B,P425,A
D189,278,22,125,0,P79,C,P61,A
D134,277,7,115,0,P157,A,P157,A
D300,277,2,108,0,P327,A,P327,A
D332,276,18,124,0,P104,A,P104,A
D349,274,16,128,0,P144,D,P62,A
D174,272,12,132,0,P220,A,P220,A
D163,270,15,126,0,P114,B,P63,A
D205,267,15,126,0,P427,C,P370,A
D147,266,18,127,0,P97,C,P71,A
D274,265,12,125,0,P386,C,P246,A
D91,265,18,127,0,P152,A,P152,A
D286,264,0,111,0,P83,B,P78,A
D320,261,1,117,0,P222,D,P84,A
D277,260,17,115,0,P460,D,P87,A
D260,260,18,131,0,P96,A,P96,A
D170,258,22,139,0,P339,D,P90,A
D73,257,19,116,0,P229,B,P92,A
D268,257,21,133,0,P53,C,P94,A
D346,255,4,102,0,P376,D,P103,A
D97,254,8,112,0,P131,C,P109,A
D7,254,17,116,0,P216,D,P191,A
D64,253,15,114,0,P310,D,P121,A
D282,253,4,105,0,P40,C,P130,A
D342,253,14,135,0,P288,A,P288,A
D53,253,6,105,0,P513,A,P513,A
D149,252,0,109,0,P154,A,P154,A
D135,251,16,122,0,P342,B,P139,A
D217,250,16,113,0,P399,A,P399,A
D329,249,12,110,0,P228,D,P142,A
D20,247,3,109,0,P476,D,P145,A
D130,246,22,138,0,P18,D,P261,A
D113,246,0,115,0,P239,A,P239,A
D279,244,17,135,0,P466,B,P309,A
D38,244,17,119,0,P208,D,P155,A
D289,243,4,119,0,P494,C,P163,A
D347,243,0,117,0,P196,A,P196,A
D218,242,7,119,0,P344,C,P170,A
D46,242,15,123,0,P2,A,P2,A
D292,240,5,105,0,P250,D,P178,A
D325,239,12,126,0,P307,A,P307,A
D181,239,18,132,0,P358,C,P471,A
D99,235,4,123,0,P117,A,P117,A
D22,234,23,126,0,P481,B,P192,A
D155,233,3,124,0,P89,D,P194,A
D144,231,10,131,0,P283,D,P195,A
D288,231,8,118,0,P277,A,P277,A
D229,227,24,123,0,P181,B,P390,A
D11,227,24,134,0,P58,C,P524,A
D337,227,4,102,0,P36,A,P36,A
D16,227,23,144,0,P374,C,P0,*
D343,226,7,108,0,P518,D,P234,A
D221,226,15,115,0,P459,B,P244,A
D100,225,5,107,0,P73,A,P73,A
D267,221,21,142,0,P369,A,P369,A
D182,221,3,120,0,P270,B,P258,A
D150,220,5,112,0,P431,A,P431,A
D208,219,3,103,0,P469,A,P469,A
D345,217,1,111,0,P147,A,P147,A
D61,216,20,134,0,P414,B,P262,A
D209,214,3,110,0,P320,C,P263,A
D201,213,18,136,0,P111,B,P265,A
D26,213,8,118,0,P50,C,P267,A
D207,213,24,141,0,P153,B,P289,A
D108,209,8,115,0,P249,B,P296,A
D211,208,2,119,0,P336,A,P336,A
D120,208,9,107,0,P346,A,P346,A
D159,208,3,116,0,P373,D,P301,A
D104,207,11,114,0,P126,B,P303,A
