diplomata,tempo_servico,tempo_na_lotacao,tempo_fora,tempo_sede,lotacao_anterior,classificacao_anterior,lotacao_alocada,classificacao_alocada
D69,298,13,110,0,P24,C,P49,C
D55,298,20,124,0,P461,B,P250,C
D293,297,9,128,0,P122,D,P203,A
D93,297,17,121,0,P49,C,P168,A
D224,297,24,121,0,P26,C,P645,C
D170,297,10,114,0,P146,D,P31,A
D103,297,24,137,0,P237,B,P563,D
D246,296,9,111,0,P102,C,P580,D
D437,295,4,109,0,P462,A,P496,C
D100,295,0,103,0,P580,D,P99,D
D152,295,21,123,0,P221,A,P372,C
D154,294,21,122,0,P67,A,P223,C
D11,294,11,121,0,P161,D,P17,C
D27,293,4,109,0,P464,D,P353,C
D407,293,9,106,0,P179,D,P474,C
D165,292,9,122,0,P466,D,P550,C
D450,292,22,141,0,P480,B,P126,D
D191,292,10,127,0,P573,D,P120,C
D444,291,6,105,0,P14,D,P202,C
D209,291,8,114,0,P145,B,P30,A
D85,291,18,135,0,P254,C,P23,C
D197,290,10,115,0,P136,C,P147,C
D408,289,5,105,0,P471,D,P317,A
D416,289,1,104,0,P290,A,P290,A
D301,289,22,125,0,P321,C,P626,D
D98,288,13,112,0,P478,C,P643,D
D390,288,13,132,0,P172,C,P129,C
D266,287,4,120,0,P431,A,P431,A
D236,286,4,115,0,P2,A,P2,A
D121,285,7,121,0,P244,A,P244,A
D34,283,10,130,0,P648,B,P112,C
D240,283,4,116,0,P532,A,P671,C
D147,278,9,120,0,P273,B,P371,D
D118,276,17,123,0,P394,A,P467,C
D234,276,0,111,0,P375,A,P434,C
D107,276,5,113,0,P270,D,P188,C
D157,275,19,117,0,P7,A,P185,C
D379,275,23,128,0,P311,C,P312,D
D341,273,22,138,0,P622,A,P466,D
D291,272,2,102,0,P97,B,P212,D
D347,272,6,121,0,P43,D,P89,A
D42,271,24,131,0,P530,D,P192,D
D357,271,11,108,0,P162,B,P75,C
D393,271,11,132,0,P143,A,P552,D
D54,271,13,128,0,P38,A,P214,D
D35,270,4,118,0,P330,B,P373,C
D229,269,2,102,0,P389,A,P323,C
D259,269,14,112,0,P627,A,P627,A
D156,268,24,140,0,P178,B,P8,A
D384,268,21,125,0,P385,C,P76,C
D423,267,17,117,0,P598,B,P419,C
D397,266,11,132,0,P454,A,P26,C
D288,266,10,126,0,P150,D,P409,A
D143,266,24,137,0,P70,B,P22,A
D163,265,6,122,0,P197,B,P241,C
D225,265,24,145,0,P403,D,P0,*
D351,265,10,127,0,P373,C,P514,D
D430,265,18,136,0,P606,A,P606,A
D101,264,7,118,0,P450,C,P437,C
D426,263,5,120,0,P552,D,P667,D
D435,263,13,115,0,P537,C,P285,D
D177,262,6,113,0,P554,B,P347,C
D135,262,4,104,0,P289,B,P629,D
D9,261,16,119,0,P264,D,P141,C
D96,261,20,128,0,P502,D,P55,C
D164,260,20,127,0,P173,C,P318,C
D382,260,14,135,0,P583,B,P333,A
D218,259,1,121,0,P54,D,P572,C
D17,258,21,124,0,P276,B,P28,A
D392,258,9,121,0,P618,C,P673,C
D359,258,13,115,0,P134,D,P490,D
D141,257,5,104,0,P303,B,P385,C
D82,257,12,129,0,P413,B,P308,C
D202,257,2,104,0,P591,B,P478,C
D186,256,3,107,0,P147,C,P251,A
D413,255,1,98,0,P473,C,P7,A
D273,254,5,123,0,P455,B,P47,C
D99,253,4,107,0,P652,B,P625,C
D255,253,0,0,12,P0,*,P279,D
D167,251,8,105,0,P632,B,P342,A
D398,250,19,136,0,P504,D,P20,A
D433,248,5,105,0,P379,D,P132,D
D47,248,0,102,0,P116,D,P62,A
D282,247,17,137,0,P60,D,P135,D
D171,247,7,109,0,P621,A,P337,D
D211,246,8,106,0,P118,C,P143,A
D285,246,18,127,0,P469,D,P146,D
D378,245,10,107,0,P96,B,P73,A
D298,245,6,125,0,P77,B,P675,D
D279,245,17,123,0,P570,C,P391,C
D431,245,3,123,0,P106,C,P16,C
D74,244,9,112,0,P434,C,P386,A
D128,244,8,125,0,P645,C,P479,C
D328,243,7,122,0,P218,B,P72,A
D283,242,22,136,0,P112,C,P590,C
